"player_name","player_height","player_weight","gp_career","gp_by_season","pts_career_avg","reb_career_avg","ast_career_avg","net_rating_career","oreb_pct_career","dreb_pct_career","usg_pct_career","ts_pct_career","ast_pct_career","num_seasons","hall_of_fame","indiv_awards","playoffs_career","nba_titles","mvp_finals","finalist_career"
"A.C. Green",205.74,102.0582,379,75.8,5.78,6.06,0.86,-1.88,0.093,0.1864,0.1274,0.4868,0.054,16,0,0,2,0,0,0
"A.J. Bramlett",208.28,102.965384,8,8,1,2.8,0,-32.6,0.158,0.208,0.146,0.19,0,1,0,0,0,0,0,0
"A.J. Guyton",185.42,81.64656,80,26.6666666666667,3.8,0.7,1.56666666666667,-6.7,0.0133333333333333,0.04,0.224,0.324,0.282,3,0,0,0,0,0,0
"Aaron Brooks",182.88,73.028312,645,64.5,8.88,1.55,2.76,-3.31,0.0227,0.0697,0.2222,0.521,0.2307,10,0,1,7,0,0,0
"Aaron Gray",213.36,122.46984,318,45.4285714285714,3.24285714285714,3.72857142857143,0.657142857142857,-4.72857142857143,0.131285714285714,0.232857142857143,0.150428571428571,0.527142857142857,0.0877142857142857,7,0,0,2,0,0,0
"Aaron Harrison",198.12,95.25432,35,11.6666666666667,2.6,1.33333333333333,0.633333333333333,-10.1666666666667,0.0206666666666667,0.141333333333333,0.142333333333333,0.288333333333333,0.16,3,0,0,0,0,0,0
"Aaron Jackson",190.5,83.007336,1,1,8,3,1,-19.8,0.056,0.031,0.149,0.405,0.053,1,0,0,1,0,0,0
"Aaron McKie",195.58,94.800728,667,60.6363636363636,6.27272727272727,3,2.49090909090909,0.672727272727273,0.025,0.135454545454545,0.138272727272727,0.495454545454545,0.181090909090909,13,0,1,7,0,0,1
"Aaron Miles",185.42,86.18248,19,19,0.8,0.7,1.3,-3.9,0,0.154,0.113,0.405,0.308,1,0,0,0,0,0,0
"Aaron Williams",205.74,105.271143333333,694,57.8333333333333,5.24166666666667,3.64166666666667,0.608333333333333,-5.05,0.0956666666666667,0.17375,0.1585,0.552083333333333,0.063,14,0,0,5,0,0,2
"Acie Earl",210.82,108.86208,47,47,4,2,0.4,-6.4,0.079,0.14,0.224,0.435,0.077,4,0,0,0,0,0,0
"Acie Law",190.5,90.831798,188,47,3.9,1,1.55,-1.8,0.01575,0.078,0.177,0.508,0.20675,4,0,0,2,0,0,0
"Adam Harrington",195.58,90.7184,19,19,1.6,0.4,0.6,-15.7,0.01,0.088,0.167,0.387,0.179,1,0,0,0,0,0,0
"Adam Keefe",205.74,105.3240624,315,63,4.06,3.5,0.64,1.62,0.1068,0.1692,0.1328,0.5246,0.0694,9,0,0,4,0,0,2
"Adam Morrison",203.2,92.98636,161,53.6666666666667,6.06666666666667,1.8,1.16666666666667,-7.83333333333333,0.034,0.101,0.193333333333333,0.438666666666667,0.114333333333333,3,0,0,2,1,0,1
"Adonal Foyle",208.28,118.878903333333,733,61.0833333333333,3.78333333333333,4.475,0.441666666666667,-4.4,0.110333333333333,0.189083333333333,0.12525,0.495916666666667,0.0416666666666667,12,0,0,2,0,0,0
"Adonis Jordan",180.34,77.11064,4,4,1.5,0,0.8,-36.4,0,0,0.185,0.521,0.273,2,0,0,0,0,0,0
"Adonis Thomas",200.66,108.86208,6,6,2.3,0.5,0.5,10.8,0,0.091,0.184,0.485,0.115,1,0,0,0,0,0,0
"Adreian Payne",208.28,108.408488,107,26.75,4.225,2.7,0.475,-9.825,0.05875,0.208,0.18375,0.55025,0.06225,4,0,0,0,0,0,0
"Adrian Caldwell",203.2,120.20188,46,23,1.1,1.85,0.15,6.15,0.054,0.104,0.0525,0.2215,0.015,6,0,0,0,0,0,0
