"player_name","player_height","player_weight","gp_career","gp_by_season","pts_career_avg","reb_career_avg","ast_career_avg","net_rating_career","oreb_pct_career","dreb_pct_career","usg_pct_career","ts_pct_career","ast_pct_career","num_seasons","hall_of_fame","indiv_awards","playoffs_career","nba_titles","mvp_finals","finalist_career"
"Aaron Gordon",204.611111111111,102.814186666667,596,66.2222222222222,13.2,6.26666666666667,2.51111111111111,1,0.0606666666666667,0.163777777777778,0.198555555555556,0.548666666666667,0.123222222222222,8,0,0,4,0,0,0
"Aaron Henry",195.58,95.25432,6,6,0.3,0.2,0,-56,0,0.048,0.149,0.2,0,1,0,0,1,0,0,0
"Aaron Holiday",183.388,83.91452,308,61.6,6.56,1.62,2.16,1.7,0.0168,0.0752,0.1776,0.5228,0.173,4,0,0,4,0,0,1
"Aaron Nesmith",195.58,97.52228,171,57,6.2,2.76666666666667,0.733333333333333,-0.733333333333333,0.033,0.127333333333333,0.155,0.548666666666667,0.059,2,0,0,2,0,0,0
"Aaron Wiggins",194.31,86.18248,120,60,7.55,3.3,1.25,-3.3,0.045,0.1035,0.146,0.5815,0.0835,1,0,0,0,0,0,0
"Abdel Nader",196.596,102.511792,202,40.4,4.48,1.94,0.56,-3.98,0.0206,0.1282,0.1592,0.5176,0.0666,5,0,0,3,0,0,1
"Adam Mokoka",194.31,86.18248,25,12.5,2,0.65,0.4,5,0.037,0.053,0.1405,0.462,0.111,2,0,0,0,0,0,0
"Ade Murkey",195.58,90.7184,1,1,0,0,0,-33.3,0,0,0,0,0,1,0,0,0,0,0,0
"Admiral Schofield",195.58,109.315672,108,36,3.66666666666667,1.8,0.666666666666667,-9.63333333333333,0.0323333333333333,0.114666666666667,0.133333333333333,0.542333333333333,0.0813333333333333,2,0,0,0,0,0,0
"Ahmad Caver",187.96,78.925008,1,1,2,0,0,133.3,0,0,0.5,1,0,1,0,0,0,0,0,0
"Al Horford",207.645,111.13004,1013,63.3125,13.53125,7.9125,3.2375,4.00625,0.06775,0.200125,0.188375,0.572375,0.1599375,15,0,0,15,0,0,1
"Al-Farouq Aminu",205.278181818182,98.5531709090909,711,64.6363636363636,7.09090909090909,5.88181818181818,1.23636363636364,-0.209090909090909,0.0609090909090909,0.195,0.149272727272727,0.501090909090909,0.0757272727272727,11,0,0,7,0,0,0
"Alan Williams",203.2,119.0679,67,16.75,4.475,4.55,0.8,6.675,0.11875,0.33625,0.20325,0.52325,0.129,4,0,0,0,0,0,0
"Alec Burks",198.12,95.934708,676,56.3333333333333,10.9,3.5,2,-2.275,0.0274166666666667,0.136166666666667,0.213833333333333,0.53675,0.135166666666667,11,0,0,4,0,0,0
"Aleem Ford",203.2,99.79024,5,5,2.8,3,0.4,-22.1,0.028,0.16,0.148,0.35,0.043,1,0,0,0,0,0,0
"Aleksej Pokusevski",213.36,90.7184,79,39.5,8.15,4.7,2.05,-14.7,0.0415,0.1575,0.188,0.476,0.1315,2,0,0,1,0,0,0
"Alex Caruso",195.156666666667,84.368112,292,48.6666666666667,6.28333333333333,2.63333333333333,2.78333333333333,4.9,0.0261666666666667,0.094,0.1385,0.546,0.177833333333333,5,0,0,2,1,0,0
"Alex Len",215.392,114.758776,596,59.6,6.72,5.25,0.81,-4.54,0.1023,0.2041,0.1667,0.5633,0.0711,9,0,0,0,0,0,0
"Alex Poythress",204.046666666667,107.047712,52,17.3333333333333,5.6,3.03333333333333,0.566666666666667,-10.8666666666667,0.073,0.13,0.139333333333333,0.539666666666667,0.0543333333333333,3,0,0,1,0,0,0
"Alfonzo McKinnie",201.676,97.52228,182,36.4,3.48,2,0.28,-6.2,0.0586,0.1218,0.1496,0.5532,0.034,5,0,0,3,2,0,0
"Alize Johnson",202.692,96.161504,76,15.2,2.34,2.88,0.4,2.24,0.1038,0.2332,0.1418,0.4904,0.065,4,0,0,2,0,0,0
"Allen Crabbe",197.757142857143,96.161504,381,54.4285714285714,7.7,2.48571428571429,1.02857142857143,-2.74285714285714,0.012,0.104142857142857,0.150571428571429,0.531571428571429,0.0741428571428571,7,0,0,3,0,0,0
"Allonzo Trier",194.31,90.7184,88,44,8.7,2.15,1.55,-9.15,0.019,0.0925,0.2075,0.592,0.1475,2,0,0,0,0,0,0
"Amida Brimah",208.28,104.32616,5,5,2.6,1.6,0.2,32.8,0.077,0.15,0.176,0.697,0.042,1,0,0,1,0,0,0
"Amile Jefferson",205.74,100.697424,30,15,1.55,1.55,0.25,8.65,0.097,0.2065,0.127,0.532,0.065,2,0,0,1,0,0,0
"Amir Coffey",200.66,95.25432,181,45.25,4.7,1.475,1.05,-2.875,0.02275,0.076,0.15025,0.5435,0.115,3,0,0,3,0,0,0
"Amir Johnson",205.74,100.114234285714,870,62.1428571428571,6.75714285714286,4.97142857142857,1.14285714285714,1.16428571428571,0.110857142857143,0.169642857142857,0.149071428571429,0.618142857142857,0.0888571428571429,14,0,0,8,0,0,1
"Andre Drummond",209.665454545455,125.809926545455,785,71.3636363636364,13.0727272727273,12.5090909090909,1.35454545454545,-1.31818181818182,0.153090909090909,0.321181818181818,0.213818181818182,0.550909090909091,0.0774545454545455,10,0,0,3,1,0,0
"Andre Iguodala",198.12,95.6124189473684,1231,64.7894736842105,10.1736842105263,4.63684210526316,4.01052631578947,5.2421052631579,0.0322105263157895,0.133473684210526,0.152105263157895,0.548684210526316,0.193473684210526,18,0,0,13,4,1,2
"Andre Ingram",190.5,86.18248,6,3,6,1.75,1.75,11.85,0.0375,0.0625,0.16,0.3275,0.0745,2,0,0,0,0,0,0
"Andre Roberson",200.66,95.25432,307,43.8571428571429,3.68571428571429,3.78571428571429,0.814285714285714,1.98571428571429,0.0722857142857143,0.144857142857143,0.104571428571429,0.455285714285714,0.063,7,0,0,5,0,0,0
"Andrew Bogut",213.36,116.961937142857,706,50.4285714285714,8.6,8.19285714285714,2.03571428571429,3.07142857142857,0.0995,0.254785714285714,0.158071428571429,0.548571428571429,0.120785714285714,14,0,0,7,3,0,0
"Andrew Harrison",198.12,96.615096,145,48.3333333333333,6.2,1.8,2.46666666666667,-4.36666666666667,0.022,0.083,0.176666666666667,0.484666666666667,0.208333333333333,3,0,0,3,0,0,0
"Andrew Wiggins",202.071111111111,89.7608168888889,635,70.5555555555556,19.0777777777778,4.54444444444444,2.38888888888889,-0.4,0.0382222222222222,0.0957777777777778,0.242777777777778,0.535555555555556,0.109555555555556,8,0,1,3,1,0,1
"Anfernee Simons",191.008,82.4630256,273,54.6,11.66,2.06,2.3,-5.7,0.0144,0.0796,0.2182,0.558,0.151,4,0,0,4,0,0,0
"Anthony Davis",208.510909090909,110.676448,660,60,23.8181818181818,10.2909090909091,2.45454545454545,1.39090909090909,0.0791818181818182,0.231090909090909,0.277727272727273,0.586454545454545,0.120818181818182,10,0,0,4,1,0,0
"Anthony Edwards",193.04,102.0582,223,74.3333333333333,21.7333333333333,5.1,3.7,0.3,0.021,0.124333333333333,0.272666666666667,0.549,0.169,2,0,0,1,0,0,0
"Anthony Gill",201.506666666667,104.32616,129,43,3.5,1.86666666666667,0.533333333333333,1.13333333333333,0.069,0.121,0.132333333333333,0.627666666666667,0.0756666666666667,2,0,0,1,0,0,0
"Anthony Lamb",198.12,102.965384,88,29.3333333333333,4.06666666666667,2.3,1.16666666666667,7.3,0.034,0.121,0.128333333333333,0.377666666666667,0.197,2,0,0,2,1,0,0
"Anthony Tolliver",203.590769230769,109.420347076923,730,56.1538461538462,5.62307692307692,3.16923076923077,0.861538461538462,-0.0615384615384614,0.0415384615384615,0.141153846153846,0.132384615384615,0.539846153846154,0.0668461538461538,13,0,0,4,0,0,0
"Antonio Blakeney",193.04,88.223644,76,38,7.6,1.8,0.9,-4.55,0.0095,0.1015,0.2335,0.479,0.0875,2,0,0,1,0,0,0
"Antonius Cleveland",196.85,88.45044,28,14,1.2,0.7,0.1,-10.85,0.0295,0.1035,0.133,0.413,0.0295,2,0,0,1,0,0,0
"Armoni Brooks",190.5,88.45044,74,37,8.25,2.65,1.3,-7.75,0.019,0.1045,0.167,0.524,0.0975,2,0,0,1,0,0,0
"Arnoldas Kulboka",208.28,94.800728,2,2,0,0,0,-100,0,0,0.071,0,0,1,0,0,0,0,0,0
"Aron Baynes",208.28,117.93392,522,58,5.85555555555556,4.35555555555556,0.788888888888889,2.14444444444444,0.101111111111111,0.192,0.170555555555556,0.543555555555556,0.0754444444444444,9,0,0,7,1,0,1
"Ashton Hagans",190.5,86.18248,2,2,0,0,0,-21.8,0,0,0.083,0,0,1,0,0,0,0,0,0
"Austin Reaves",195.58,89.357624,125,62.5,10.15,3.1,2.6,3.35,0.0245,0.089,0.1375,0.6435,0.128,1,0,0,1,0,0,0
"Austin Rivers",192.809090909091,90.7184,707,64.2727272727273,8.41818181818182,2.04545454545455,2.14545454545455,-1.03636363636364,0.0137272727272727,0.0777272727272727,0.167454545454545,0.517636363636364,0.133909090909091,10,0,0,9,0,0,0
"Avery Bradley",188.595,81.64656,660,55,10.3666666666667,2.69166666666667,1.63333333333333,-2.125,0.0233333333333333,0.0845,0.191166666666667,0.50375,0.0975,12,0,0,9,0,0,1
"Axel Toupane",200.66,95.25432,33,11,2.73333333333333,0.866666666666667,0.4,-3.7,0.0106666666666667,0.064,0.101,0.532666666666667,0.0553333333333333,3,0,0,1,0,0,0
"Ayo Dosunmu",194.31,90.7184,157,78.5,8.7,2.8,2.95,-3.15,0.0175,0.0855,0.1415,0.5815,0.1495,1,0,0,1,0,0,0
"Bam Adebayo",206.586666666667,115.66596,418,69.6666666666667,14.9833333333333,8.55,3.46666666666667,2.56666666666667,0.0781666666666667,0.213833333333333,0.209666666666667,0.602833333333333,0.182,5,0,0,4,0,0,1
"Ben McLemore",193.886666666667,88.7528346666667,556,61.7777777777778,8.46666666666667,2.13333333333333,0.911111111111111,-4.82222222222222,0.0188888888888889,0.0893333333333333,0.182,0.542777777777778,0.0653333333333333,9,0,0,4,1,0,0
"Ben Simmons",208.788,107.047712,317,63.4,14.06,7.64,7.38,4.16,0.052,0.1722,0.1964,0.5768,0.3282,4,0,1,3,0,0,0
"Billy Garrett",198.12,97.52228,4,4,6.5,0.8,1.8,-8.6,0,0.041,0.215,0.452,0.189,1,0,0,0,0,0,0
"Bismack Biyombo",204.893333333333,113.775993333333,799,66.5833333333333,5.15,5.8,0.625,-5.325,0.103666666666667,0.214333333333333,0.1295,0.560083333333333,0.05275,11,0,0,2,0,0,1
"Blake Griffin",207.498461538462,113.677133538462,765,58.8461538461538,17.9307692307692,7.48461538461538,3.89230769230769,4.36923076923077,0.0634615384615385,0.197384615384615,0.251923076923077,0.552307692307692,0.204923076923077,12,0,1,7,0,0,1
"Bobby Portis",209.8675,111.923826,523,65.375,11.425,6.975,1.2125,-1.9125,0.083375,0.221875,0.21475,0.545625,0.085125,7,0,0,6,1,0,0
"Bol Bol",218.44,99.79024,123,30.75,4.85,2.675,0.625,-9.65,0.038,0.189,0.1835,0.57975,0.08525,3,0,0,2,0,0,0
"Bones Hyland",187.96,76.657048,125,62.5,10.95,2.55,2.95,-1.8,0.015,0.122,0.251,0.5465,0.2325,1,0,0,1,0,0,0
"Bonzie Colson",198.12,102.0582,8,8,4.9,3.8,0.4,-9.2,0.065,0.182,0.174,0.454,0.04,1,0,0,1,0,0,0
"Brad Wanamaker",191.135,95.25432,191,47.75,4.975,1.625,2.35,0.425,0.0145,0.09125,0.1565,0.53375,0.225,4,0,0,3,0,0,0
"Bradley Beal",194.194545454545,93.893544,695,63.1818181818182,22.1090909090909,4.06363636363636,4.33636363636364,0.145454545454545,0.0263636363636364,0.0969090909090909,0.272909090909091,0.558454545454545,0.203363636363636,10,0,0,5,0,0,0
"Brandon Boston Jr.",198.12,85.275296,22,22,6.5,1.4,0.9,-7.7,0.024,0.098,0.237,0.515,0.129,1,0,0,0,0,0,0
"Brandon Clarke",203.2,97.52228,237,59.25,10.7,5.575,1.4,2.075,0.07725,0.1655,0.173,0.641,0.09675,3,0,0,2,0,0,0
"Brandon Goodwin",184.15,81.64656,133,33.25,4.3,1.425,1.725,-4.125,0.01975,0.09425,0.20175,0.473,0.2575,4,0,0,0,0,0,0
"Brandon Ingram",203.925714285714,86.18248,413,59,19.8285714285714,5.24285714285714,4.21428571428571,-0.885714285714286,0.0214285714285714,0.132714285714286,0.252142857142857,0.553142857142857,0.194857142857143,6,0,1,1,0,0,0
"Brandon Knight",189.935555555556,85.6280897777778,451,50.1111111111111,12.4555555555556,2.74444444444444,3.51111111111111,-6.97777777777778,0.0161111111111111,0.0968888888888889,0.231333333333333,0.517777777777778,0.215888888888889,9,0,0,4,0,0,1
"Brandon Sampson",195.58,83.460928,14,14,5.1,1.1,0.7,-6,0.014,0.063,0.154,0.567,0.063,1,0,0,0,0,0,0
"Brandon Williams",195.58,94.68733,84,10.5,4.5,1.35,1.05,-19.225,0.12025,0.04025,0.20625,0.386,0.0665,2,0,0,4,0,0,0
"Braxton Key",203.2,102.0582,14,7,4.25,2.4,0.5,1.75,0.029,0.127,0.1375,0.786,0.0385,1,0,0,0,0,0,0
"Brodric Thomas",195.58,83.91452,44,22,2.85,1.25,0.9,-0.75,0.0265,0.105,0.165,0.5035,0.177,2,0,0,1,0,0,0
"Brook Lopez",213.529333333333,123.346784533333,946,63.0666666666667,16.5266666666667,5.94,1.32,-0.286666666666667,0.0712,0.137733333333333,0.2366,0.574933333333333,0.0756,14,0,0,5,1,0,0
"Bruce Brown",193.548,91.625584,349,69.8,8.5,4.3,2.46,0.08,0.0472,0.1246,0.1498,0.5474,0.1344,4,0,0,2,0,0,0
"Bruno Caboclo",205.74,95.5135154285714,105,15,2.81428571428571,1.77142857142857,0.428571428571429,-8.01428571428571,0.0622857142857143,0.129857142857143,0.196428571428571,0.413714285714286,0.0654285714285714,7,0,0,5,0,0,0
"Bruno Fernando",206.375,108.86208,158,39.5,3.15,2.8,0.55,-7.65,0.094,0.212,0.159,0.56475,0.09225,3,0,0,1,0,0,0
"Bryn Forbes",189.048571428571,90.0704114285714,431,61.5714285714286,7.84285714285714,1.47142857142857,1.1,-2.65714285714286,0.00857142857142857,0.0694285714285714,0.176,0.549285714285714,0.0918571428571429,6,0,0,7,0,0,0
"Buddy Hield",193.04,98.6238605714286,548,78.2857142857143,16.1428571428571,4.4,2.58571428571429,-2.94285714285714,0.0245714285714286,0.124142857142857,0.225142857142857,0.568571428571429,0.129285714285714,6,0,0,0,0,0,0
"C.J. Williams",195.58,103.418976,53,26.5,4.05,1,0.95,-9.35,0.012,0.0555,0.136,0.531,0.122,2,0,0,2,0,0,0
"CJ Elleby",198.12,90.7184,88,44,4.05,2.5,0.9,-9.8,0.0505,0.115,0.1515,0.4795,0.0925,2,0,0,2,0,0,0
"CJ McCollum",191.262,87.543256,665,66.5,18.66,3.44,3.59,1.85,0.0196,0.0921,0.2512,0.5485,0.1753,9,0,1,8,0,0,0
"Cade Cunningham",199.39,99.79024,76,38,18.65,5.85,5.8,-6.15,0.0265,0.1455,0.28,0.498,0.2945,1,0,0,0,0,0,0
"Caleb Martin",195.58,92.98636,202,50.5,7.5,3.35,1.325,0.4,0.041,0.11375,0.15425,0.5605,0.09875,3,0,0,2,0,0,0
"Caleb Swanigan",204.893333333333,114.909973333333,75,25,2.23333333333333,2.9,0.7,-8.8,0.085,0.230333333333333,0.163666666666667,0.474333333333333,0.12,3,0,0,2,0,0,0
"Cam Reddish",202.565,98.65626,173,43.25,10.375,3,1.3,-7.275,0.02225,0.091,0.18675,0.523,0.077,3,0,0,1,0,0,0
"Cam Thomas",190.5,95.25432,124,62,9.55,2.05,1.3,-4,0.011,0.1035,0.24,0.543,0.1175,1,0,0,0,0,0,0
"Cameron Johnson",203.2,95.25432,225,56.25,11.6,3.775,1.5,4.875,0.028,0.1175,0.171,0.59775,0.08475,3,0,0,0,0,0,1
"Cameron McGriff",200.66,99.79024,3,3,4.7,5,1,7.3,0.098,0.209,0.122,0.47,0.086,1,0,0,1,0,0,0
"Cameron Oliver",203.2,105.233344,6,3,11.15,4.15,1.4,-3.05,0.0505,0.1545,0.1705,0.662,0.0915,2,0,0,2,0,0,0
"Cameron Payne",187.96,83.744423,327,40.875,8.2125,2.3875,3.3625,0.8875,0.01675,0.107875,0.20275,0.5175,0.2555,7,0,0,2,0,0,2
"Cameron Reynolds",201.93,102.0582,24,12,4,1.3,0.55,-16.6,0.0255,0.0905,0.1615,0.4985,0.084,2,0,0,2,0,0,0
"Caris LeVert",199.208571428571,92.6623657142857,392,56,14.5714285714286,3.87142857142857,3.97142857142857,-0.942857142857143,0.0257142857142857,0.107714285714286,0.230428571428571,0.529428571428571,0.218,6,0,0,1,0,0,0
"Carlik Jones",182.88,78.925008,12,6,1.85,0.65,0.95,-6.2,0.029,0.069,0.1865,0.371,0.275,1,0,0,2,0,0,0
"Carmelo Anthony",202.932631578947,105.734682526316,1260,66.3157894736842,22.0157894736842,6.16315789473684,2.63684210526316,1.01052631578947,0.0488947368421053,0.147684210526316,0.287210526315789,0.540210526315789,0.133736842105263,19,0,0,14,0,0,0
"Carsen Edwards",180.34,90.7184,72,24,4.36666666666667,1.2,1.53333333333333,-5.16666666666667,0.0153333333333333,0.0783333333333333,0.179,0.449666666666667,0.145333333333333,3,0,0,2,0,0,0
"Cassius Stanley",195.58,86.18248,33,16.5,3.65,1.45,0.2,2.55,0.0475,0.097,0.173,0.4495,0.03,2,0,0,1,0,0,0
"Cassius Winston",185.42,83.91452,29,14.5,1.95,0.25,0.75,-12.4,0,0.057,0.183,0.562,0.251,2,0,0,1,0,0,0
"Cat Barber",185.42,78.471416,3,3,0,1,1,34.6,0.091,0.286,0.219,0,0.2,1,0,0,1,0,0,0
"Cedi Osman",201.506666666667,102.0582,404,67.3333333333333,9.61666666666667,3.03333333333333,2.01666666666667,-3.86666666666667,0.0206666666666667,0.113166666666667,0.1795,0.549166666666667,0.123833333333333,5,0,0,2,0,0,2
"Chandler Hutchison",199.39,93.780146,103,25.75,4.5,3,0.675,1.15,0.02025,0.17725,0.1425,0.54775,0.0745,4,0,0,0,0,0,1
"Chandler Parsons",206.868888888889,103.721370666667,440,48.8888888888889,10.6,3.82222222222222,2.28888888888889,-2.94444444444444,0.0248888888888889,0.132333333333333,0.184777777777778,0.522777777777778,0.136777777777778,9,0,0,5,0,0,0
"Channing Frye",211.015384615385,113.188649846154,890,68.4615384615385,8.41538461538462,4.30769230769231,0.938461538461538,-0.830769230769231,0.0445384615384615,0.183307692307692,0.181307692307692,0.545769230769231,0.0702307692307692,13,0,0,3,1,0,2
"Charles Bassey",205.74,104.32616,58,29,4.35,4.1,0.85,-5.6,0.132,0.2325,0.152,0.659,0.1005,1,0,0,1,0,0,0
"Charlie Brown Jr.",198.12,90.264808,41,13.6666666666667,2.6,1.26666666666667,0.5,5.86666666666667,0.0413333333333333,0.0756666666666667,0.158666666666667,0.413333333333333,0.0673333333333333,3,0,0,2,0,0,0
"Chasson Randle",187.96,83.91452,119,29.75,4.75,1.25,1.7,-6.55,0.01075,0.074,0.14775,0.50825,0.16475,4,0,0,3,0,0,1
"Chaundee Brown Jr.",195.58,97.52228,5,5,6.2,3.2,0.8,-8.7,0.009,0.139,0.146,0.447,0.056,1,0,0,1,0,0,0
"Cheick Diallo",204.724,99.6088032,183,36.6,4.88,4.08,0.32,-15.2,0.0868,0.2624,0.168,0.5956,0.0412,5,0,0,1,0,0,0
"Chimezie Metu",206.248,102.0582,209,41.8,5.02,2.94,0.68,-2.96,0.0646,0.1946,0.1974,0.5506,0.107,4,0,0,2,0,0,0
"Chris Boucher",206.586666666667,90.7184,307,51.1666666666667,7.05,4.31666666666667,0.383333333333333,-15.1166666666667,0.079,0.3265,0.2135,0.490666666666667,0.0313333333333333,5,0,0,5,2,0,0
"Chris Chiozza",180.975,79.3786,91,22.75,3,1.175,2.125,-5.15,0.019,0.0935,0.15375,0.4355,0.28275,4,0,0,1,0,0,0
"Chris Clemons",175.26,81.64656,33,33,4.9,0.9,0.8,-8.8,0.012,0.08,0.235,0.548,0.162,1,0,0,1,0,0,0
"Chris Duarte",195.58,86.18248,101,50.5,10.5,3.3,1.75,-4.1,0.023,0.1115,0.194,0.5165,0.1055,1,0,0,0,0,0,0
"Chris Paul",183.021111111111,79.3786,1214,67.4444444444444,17.8444444444444,4.49444444444444,9.45,7.12222222222222,0.0197222222222222,0.124611111111111,0.231055555555556,0.581611111111111,0.427777777777778,17,0,1,10,0,0,1
"Chris Silva",203.2,106.140528,70,17.5,2.425,2.075,0.4,-2.525,0.09275,0.16875,0.16975,0.75,0.08375,3,0,0,2,0,0,0
"Christian Wood",208.28,97.8462742857143,289,41.2857142857143,11.8714285714286,5.95714285714286,1.08571428571429,-4.22857142857143,0.0757142857142857,0.215857142857143,0.222428571428571,0.593857142857143,0.0747142857142857,6,0,0,4,0,0,0
"Chuma Okeke",199.813333333333,103.872568,142,47.3333333333333,7.03333333333333,4.2,1.76666666666667,-8.93333333333333,0.0353333333333333,0.138,0.140666666666667,0.5,0.112333333333333,2,0,0,1,0,0,0
"Clint Capela",208.28,110.474851555556,536,59.5555555555556,11.6666666666667,10.2222222222222,0.911111111111111,4.72222222222222,0.131111111111111,0.261444444444444,0.176888888888889,0.599444444444444,0.0533333333333333,8,0,0,7,0,0,0
"Coby White",194.31,88.45044,269,67.25,12.675,3.375,3.3,-1.075,0.012,0.11325,0.20475,0.5455,0.1715,3,0,0,1,0,0,0
"Cody Martin",196.85,92.98636,178,44.5,5.425,3.45,1.95,-2.95,0.04925,0.12075,0.12375,0.508,0.13175,3,0,0,0,0,0,0
"Cody Zeller",212.598,108.86208,509,50.9,8.2,5.78,1.31,-0.62,0.0988,0.1938,0.1662,0.5898,0.0949,9,0,0,3,0,0,0
"Cole Anthony",189.653333333333,83.91452,172,57.3333333333333,14.0666666666667,4.96666666666667,4.56666666666667,-6.1,0.024,0.146333333333333,0.229666666666667,0.528333333333333,0.25,2,0,0,1,0,0,0
"Collin Sexton",186.436,86.18248,266,53.2,18.42,2.92,3.08,-7.32,0.0298,0.0652,0.2582,0.5584,0.165,4,0,0,2,0,0,1
"Corey Brewer",205.74,84.7170289230769,819,63,7.74615384615385,2.70769230769231,1.44615384615385,-0.107692307692308,0.04,0.109615384615385,0.168538461538462,0.497076923076923,0.0987692307692308,13,0,0,6,0,0,0
"Corey Kispert",198.12,101.604608,151,75.5,9.65,2.75,1.15,-1.55,0.023,0.083,0.1405,0.6215,0.06,1,0,0,1,0,0,0
"Cory Joseph",190.5,87.429858,790,65.8333333333333,6.66666666666667,2.36666666666667,2.89166666666667,-0.491666666666667,0.0248333333333333,0.09525,0.155333333333333,0.520083333333333,0.201916666666667,11,0,0,8,1,0,1
"Courtney Lee",195.58,91.85238,811,67.5833333333333,9.08333333333333,2.5,1.575,-0.391666666666667,0.0188333333333333,0.0905833333333333,0.15825,0.5515,0.0929166666666667,12,0,0,4,0,0,0
"Craig Sword",190.5,88.904032,3,3,2,0,0.3,8.3,0,0,0.125,0.75,0.1,1,0,0,1,0,0,0
"D'Angelo Russell",194.31,88.166945,495,61.875,17.925,3.4375,5.7125,-4.7,0.0165,0.10025,0.271625,0.540875,0.30825,7,0,0,0,0,0,0
"D.J. Augustin",182.335714285714,82.6185428571429,976,69.7142857142857,9.41428571428571,1.82142857142857,3.86428571428571,-3.7,0.0136428571428571,0.0717857142857143,0.186071428571429,0.558857142857143,0.260928571428571,14,0,0,7,0,0,0
"D.J. Wilson",208.28,105.233344,146,29.2,4.62,2.96,0.78,-11.98,0.0332,0.1898,0.1594,0.5792,0.0988,5,0,0,4,0,0,0
"DaQuan Jeffries",195.58,103.116581333333,47,15.6666666666667,2.86666666666667,1.46666666666667,0.5,-4,0.019,0.152666666666667,0.111333333333333,0.533333333333333,0.0953333333333333,3,0,0,1,0,0,0
"Daishen Nix",193.04,102.511792,81,40.5,3.6,1.55,2,-7.4,0.022,0.097,0.158,0.4635,0.1995,1,0,0,0,0,0,0
